No.,Symbol,Name,Weight,Shares,asset_close_price,spmo_close_price,relative_strength,rel_Momntum,Change_of_Mom,Snapshot_Date
1.0,MU,"Micron Technology, Inc.",11.30%,2194591.0,1079.57,155.09,6.9609,29.903,-128.3525,2026-06-04
2.0,NVDA,NVIDIA Corporation,8.88%,7958609.0,214.75,155.09,1.3847,-2.5494,-115.26,2026-06-04
3.0,AVGO,Broadcom Inc.,7.71%,3370070.0,479.23,155.09,3.09,-0.7553,18.291,2026-06-04
4.0,GOOGL,Alphabet Inc.,4.70%,2512013.0,358.99,155.09,2.3147,-3.3716,-63.3504,2026-06-04
5.0,AMD,"Advanced Micro Devices, Inc.",4.04%,1593894.0,542.52,155.09,3.4981,9.6513,230.0732,2026-06-04
6.0,JNJ,Johnson & Johnson,3.77%,3395993.0,223.24,155.09,1.4394,-2.5652,19.0234,2026-06-04
7.0,GOOG,Alphabet Inc.,3.73%,2012858.0,355.68,155.09,2.2934,-3.4473,-64.3105,2026-06-04
8.0,LRCX,Lam Research Corporation,3.48%,2208384.0,343.71,155.09,2.2162,2.5215,121.2014,2026-06-04
9.0,XOM,Exxon Mobil Corporation,2.82%,3800586.0,152.53,155.09,0.9835,-1.3066,24.7742,2026-06-04
10.0,INTC,Intel Corporation,2.78%,5116426.0,112.71,155.09,0.7267,0.8341,11.6061,2026-06-04
11.0,CAT,Caterpillar Inc.,2.54%,590241.0,926.18,155.09,5.9719,-3.016,119.6307,2026-06-04
12.0,SNDK,Sandisk Corporation,2.52%,288223.0,1831.5,155.09,11.8093,37.0845,112.9762,2026-06-04
13.0,CSCO,"Cisco Systems, Inc.",2.01%,3330985.0,126.5,155.09,0.8157,1.4758,-5.0903,2026-06-04
14.0,STX,Seagate Technology Holdings plc,1.95%,424915.0,940.69,155.09,6.0654,15.5511,8.1398,2026-06-04
15.0,WDC,Western Digital Corporation,1.80%,661071.0,594.11,155.09,3.8307,7.9744,220.3028,2026-06-04
16.0,AMAT,"Applied Materials, Inc.",1.78%,782606.0,500.77,155.09,3.2289,1.6814,159.5804,2026-06-04
17.0,GE,GE Aerospace,1.62%,1003295.0,314.64,155.09,2.0288,-1.252,-20.1142,2026-06-04
18.0,GS,"The Goldman Sachs Group, Inc.",1.44%,276259.0,1041.02,155.09,6.7124,-3.552,-236.9696,2026-06-04
19.0,PLTR,Palantir Technologies Inc.,1.41%,1762654.0,142.2,155.09,0.9169,-1.663,-64.3978,2026-06-04
20.0,KLAC,KLA Corporation,1.39%,143607.0,2125.11,155.09,13.7024,-6.6119,779.6674,2026-06-04
,SPMO,Invesco S&P 500 Momentum ETF,100.0%,,155.09,155.09,1.0,229.8,179.9927,2026-06-04
